width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,slope,elevation_min,elevation_max,elevation_range,elevation_mean,relative_elevation_mean,relative_elevation_max,slope_r_mean,slope_r_max,local_slope_mean,local_slope_max,curvature_mean,curvature_max,local_curvature_mean,local_curvature_max,dist_along_range,channel_dist_along,ridge1_dist_along,floodplain1_dist_along,ridge2_dist_along,floodplain2_dist_along,channel_elevation,ridge1_elevation,floodplain1_elevation,ridge2_elevation,floodplain2_elevation,reach_id,node_id,discharge_value,corrected_discharge,XGB_depth,floodplain1_dist_to_river_center,floodplain2_dist_to_river_center,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda_original,single_side_measurement,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,is_reflected,partial_data_flag,lambda,lambda_diff
186.0,851.0,1.695659846468126,186.0,159384,1,1,6493.68656198602,6748.92856917633,0.0012220295293643,43.0,86.42,43.42,58.461838709677416,15.46183870967742,43.42,0.0476241249327172,0.3866666666690109,-0.0003715670436193,0.3866666666690109,1.294498383570185e-06,0.0128888888890451,1.2944983824914457e-06,0.01843333333361,18570.000000000065,9300.794423753066,9798.969677419387,12427.68296774198,,,52.5,56.01690903225792,51.1,,,18192000141,18192000140591,704.503,3856.039868458207,7.008625,3126.8885439889127,,0.0018704622708336752,,1.5306195356888717,,1.5306195356888717,0.1614470227232633,,0.1614470227232633,7.008625,0.7015511647802414,,0.7015511647802414,1.073807918506412,true,POINT (5311541.246361565 -1805429.6193610202),BEMARIVO,54.302767783096066,54.302767783096066,54.88538739262409,56.01690903225792,false,true,1.07380791809792,-4.084919069669013e-10
252.0,43.91836734693876,1.6956598464681265,252.0,159185,1,1,6493.965306332237,6748.92856917633,0.0012220295293643,40.29,83.02,42.73,57.523388822829965,17.233388822829966,42.73,0.0452992063492176,0.3643333333377514,-0.0006301587301626,0.3629999999984318,-1.0197324849792826e-06,0.0112111111108664,1.0197324846022091e-06,0.0190999999997664,25200.000000000273,12510.580645161426,13035.17419354853,15815.520000000171,12249.449820048303,11041.71870967754,52.5,55.844709677418976,50.91552000000035,57.54714409541819,53.52572903225914,18192000141,18192000140581,704.503,3856.039868458207,6.5087547,3304.939354838745,1468.8619354838866,0.0017728692827373633,0.003329727143150911,1.450758136474501,2.724751786385257,2.087754961429879,0.5138785883909522,0.0,0.2569392941954761,6.5087547,0.7573168608456894,0.6178470765166564,0.6875819686811728,0.3174698089698915,false,POINT (5311368.195975313 -1805311.4605347316),BEMARIVO,,,52.5,52.5,false,false,1.4355026665038424,0.08871649075822124
275.0,283.84,1.695659846468126,275.0,158962,1,1,6494.1644094366775,6748.928569176331,0.0012220295293643,41.18,82.7,41.52,56.838964013086155,15.658964013086148,41.52,0.0427587336244682,0.4976666666618009,-0.000675764192141,0.3680000000030345,-2.4286581014471578e-08,0.0158555555552368,2.4286582061440233e-08,0.0165888888888642,27480.00000000055,13642.49032258092,14157.341419355123,16960.41961290357,13396.615745411214,12961.853638121109,52.5,55.855569032258515,52.06652679569875,56.73439541504895,55.68826787849616,18192000141,18192000140571,704.503,3856.039868458207,5.885772,3317.9292903226506,1658.9646451613226,0.0013517433241530211,0.002406206788965919,1.1061462032396208,1.9690250776653724,1.5375856404524966,0.5701153616311531,0.0,0.2850576808155765,5.885772,0.6437629994093834,0.17773837256230587,0.41075068598584463,0.1962854977621998,false,POINT (5311179.691840299 -1805203.8438326654),BEMARIVO,55.338260407930576,55.338260407930576,52.5,52.5,false,false,0.6315643565778473,0.055770934378741116
296.0,50.24,1.695659846468126,296.0,158773,1,2,6494.363512541118,6748.928569176331,0.0012220295293643,40.5,134.89,94.39,66.4857852077001,25.985785207700104,94.39,0.0428897903989328,0.4593333333313281,-0.0029634888438283,0.2793333333307757,1.1280316906521665e-08,0.0117555555554304,7.896221065096162e-08,0.0133222222226241,29579.999999999483,14746.615999999738,15485.543483870695,17820.39273419024,14377.15225806426,13884.533935483629,52.0,56.05,51.3943049408978,57.11,55.905254881717354,18192000141,18192000140561,704.503,3856.039868458207,5.725889,4064.101161290253,862.0820645161093,0.0019940024207006175,0.0024455954247212543,1.6317137784206395,2.0012572249325706,1.816485501676605,0.3412924774075361,0.5264165690551392,0.4338545232313376,5.725889,0.8130955837778554,0.210403156310338,0.5117493700440967,0.7709378282866896,false,POINT (5311038.316442427 -1805075.166225782),BEMARIVO,55.30409568788889,55.30409568788889,54.09579715782944,56.05,false,false,0.9295853111772376,-1.091231660588221e-09
270.5,409.1388888888889,1.695659846468126,324.0,158592,2,2,6494.6024362664475,6748.92856917633,0.0012220295293643,38.15,156.68,118.53,69.4229490022173,31.2729490022173,118.53,0.0342249352571409,0.3560000000015004,-0.0038682944875829,0.3560000000015004,1.4814814918666038e-07,0.0107000000000901,1.48148148528602e-07,0.0115888888890624,27029.9999999997,13531.62490322566,13981.776129032109,17582.98593548368,,,52.0,55.798223870968194,48.131943741933014,,,18192000141,18192000140551,704.503,3856.039868458207,6.529965,4051.3610322580207,,0.00212880685628819,,1.7420257081640211,,1.7420257081640211,0.2967601359694156,,0.2967601359694156,6.529965,1.1740155007010267,,1.1740155007010267,2.0451651845721543,true,POINT (5310940.895797749 -1804905.1196532974),BEMARIVO,52.87561086838424,52.87561086838424,53.86039056969267,55.798223870968194,false,true,2.0451651840042437,-5.679106074296669e-10
369.5,2448.25,1.4641257325029404,369.5,158395,1,1,6511.690606335324,4824.86294042598,0.0012220295293643,40.5,162.47,121.97,71.45903409090909,30.95903409090909,121.97,0.0414733279176687,0.4183333333312282,-0.0022710533441577,0.4183333333312282,3.97470640300005e-07,0.0102444444443429,-3.974706419837966e-07,0.0194111111109188,36929.99999999982,18564.591870967655,19102.737419354744,22408.488645161186,18144.944466186847,17879.1123948108,52.0,55.42757913978497,48.66,55.706785786168254,55.1651628057933,18192000141,18192000140541,704.503,3856.039868458207,5.071743,3843.8967741935303,,0.002047213681691005,0.002037462882239318,1.6752571296341472,1.6672779448293746,1.671267537231761,0.3600954115668983,,0.3600954115668983,5.071743,1.3343694938377144,0.10679227641758525,0.7205808851276498,2.2354120087941585,false,POINT (5310869.99846148 -1804728.2408812225),BEMARIVO,52.73369545365995,52.73369545365995,53.60126775683843,55.42757913978497,false,true,1.2042834412635697,-6.762190807307888e-10
434.5,303.1875,1.0010575045725696,324.0,158171,2,2,6511.808500426621,976.731682925281,0.0012220295293643,40.74,120.17,79.43,63.6952104899931,22.955210489993096,79.43,0.0430345303867429,0.4163333333353529,-0.0011873848986972,0.3769999999939199,-4.376871695164852e-07,0.0138000000001355,4.376871688833557e-07,0.0194888888890779,43439.99999999966,21837.147870967572,22560.587354838535,26810.79432258044,21023.278451612743,19576.399483870817,51.5,55.19804215053885,47.762524903224936,54.322405161289666,51.556399483870734,18192000141,18192000140531,704.503,3856.039868458207,4.628011,4973.646451612869,2260.7483870967553,0.0017494482744013023,0.0019117049436581394,1.4315924716740402,1.5643688615712985,1.4979806666226694,0.4100467690815083,0.2208430292353438,0.3154448991584261,4.628011,1.6066334430306923,0.5976661847646714,1.102149813897682,1.6509991137219422,false,POINT (5310719.619523234 -1804594.2425230679),BEMARIVO,53.47626161842799,53.47626161842799,53.30034119271517,54.322405161289666,false,false,1.6509991129405006,-7.814415781126627e-10
381.0,1184.56,1.0010575045725696,381.0,158001,1,1,6511.955868040743,976.731682925281,0.0012220295293643,39.16,95.23,56.07000000000001,58.44615748031496,19.28615748031497,56.07000000000001,0.0389569214604591,0.4976666666635586,-0.0006443393748252,0.3409999999958649,-1.5334735372205386e-06,0.0152666666664572,1.5334735369970886e-06,0.016588888888917,38070.000000000065,18979.164000000022,19533.921677419385,24051.234193548426,18582.908516129057,16918.635483870996,49.0,54.81915058064533,47.62,54.56187380645236,51.49863548387067,18192000141,18192000140521,704.503,3856.039868458207,5.071743,5072.070193548403,2060.5285161290267,0.0015936799929929843,0.0018405864070181722,1.3041255998306498,1.506171792735357,1.4051486962830033,0.3457515476643204,0.2950240612374714,0.3203878044508959,5.071743,1.4194628120244521,0.6039813773256432,1.0117220946750476,1.4216199829371976,false,POINT (5310577.586309765 -1804462.4353097852),BEMARIVO,53.219832028924145,53.219832028924145,53.065587589039644,54.56187380645236,false,false,1.4216199823333524,-6.038451960677094e-10
234.0,2957.1388888888887,1.0033433986326303,234.0,157801,1,1,6512.1327091776875,1101.5791953643354,0.0012220295293643,37.0,78.26,41.260000000000005,51.59877080665813,14.598770806658132,41.260000000000005,0.0278675213675115,0.2733333333334432,-0.0004700854700753,0.2276666666667496,-2.0396519754729473e-06,0.0091111111111184,-2.0396519749178227e-06,0.0092444444446662,23400.00000000038,11665.68000000019,12006.665806451809,16536.90580645188,11227.269677419536,9814.614193548548,48.0,54.97,48.26834064516132,53.93426580645005,51.87692387096765,18192000141,18192000140511,704.503,3856.039868458207,6.5245366,4871.22580645169,1851.065806451641,0.0014793166263507586,0.0014563649506307533,1.210540818207805,1.1917592133705268,1.201150015789166,0.3357703148522505,0.1770258312133743,0.2563980730328124,6.5245366,1.0271471777533874,0.31532384008427483,0.6712355089188311,0.8062545425089219,false,POINT (5310404.316977857 -1804326.4348164175),BEMARIVO,52.37750466608273,52.37750466608273,52.77925429155297,53.93426580645005,false,false,0.8062545421361028,-3.7281910891806547e-10
212.0,256.64,1.0044863456626605,212.0,157574,1,1,6512.280076791809,1164.0029515838626,0.0012220295293643,37.0,85.68,48.68000000000001,53.090480905233385,16.09048090523338,48.68000000000001,0.0343319169026981,0.4293333333291163,0.0004169027383946,0.2429999999976059,-4.129235620684879e-06,0.0143111111108299,-1.7241922776269435e-05,0.0137777777777811,21180.000000000255,10470.754322580771,10911.662709677554,14350.748129032434,9897.57341935496,8751.211612903333,47.5,54.00389548387073,49.02224438709643,54.12595569892503,51.68414107526891,18192000141,18192000140501,704.503,3856.039868458207,6.965836,3879.9938064516623,1719.5427096774383,0.0014485395062563587,0.00213005580592771,1.1853555674795266,1.7430477371817403,1.4642016523306336,0.2251895348790228,0.2427122292195592,0.233950882049291,6.965836,0.7151548065119965,0.3505415033681702,0.5328481549400833,0.7801971494015271,false,POINT (5310231.184736778 -1804200.890882076),BEMARIVO,52.42448181567534,52.42448181567534,52.435262114987175,54.00389548387073,false,false,0.7801971489045995,-4.969276101718378e-10
