width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,slope,elevation_min,elevation_max,elevation_range,elevation_mean,relative_elevation_mean,relative_elevation_max,slope_r_mean,slope_r_max,local_slope_mean,local_slope_max,curvature_mean,curvature_max,local_curvature_mean,local_curvature_max,dist_along_range,channel_dist_along,ridge1_dist_along,floodplain1_dist_along,ridge2_dist_along,floodplain2_dist_along,channel_elevation,ridge1_elevation,floodplain1_elevation,ridge2_elevation,floodplain2_elevation,reach_id,node_id,discharge_value,corrected_discharge,XGB_depth,floodplain1_dist_to_river_center,floodplain2_dist_to_river_center,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda,flag_high_gamma,flag_low_superelevation,flag_single_side,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,single_side_measurement,is_reflected,partial_data_flag,lambda_recalculated,lambda_diff
1229.0,1128.96,1.0311278524362797,2757.0,59882,3,4,53442.283650112186,1442.8229399333857,0.0007222660804702,29.99,147.55,117.56000000000002,65.88528062469497,35.89528062469497,117.56000000000002,0.0082495117187471,0.2220000000009152,-0.0013100585937443,0.2220000000009152,-2.1711990465750297e-07,0.007400000000061,-3.039678661349471e-07,0.007400000000061,61440.00000000053,31013.59070967769,29247.82618575821,27683.616586272474,,,31.5,38.36378549677319,35.09147547313111,,,18140100051,18140100050471,1152.508,6582.087394235549,5.235151,7162.450580645222,,0.0020919894767465435,,2.8964249233255486,,2.8964249233255486,0.7399371754907226,,0.7399371754907226,5.235151,0.6250650694969596,,0.6250650694969596,1.8104540471139356,false,false,true,POINT (4877448.484881583 -2480860.300038306),MANGOKY,33.92739996752024,33.92739996752024,33.19154863958873,37.06523148387016,true,false,true,1.81045404599121,-1.1227256901946703e-09
1208.0,246.96,1.0008782760513537,2757.0,59682,3,3,53445.90293838453,1141.0332365265951,0.0007222660804702,30.82,136.77,105.95000000000002,66.11829195630585,35.29829195630585,105.95000000000002,0.0100336148368942,0.48866666666643,-0.001077165093562,0.48866666666643,-5.522421011530434e-09,0.0155333333333182,8.283631530623178e-08,0.0155333333333182,60390.0000000017,30483.57329032344,28472.13174193629,25454.969419355555,,,31.5,36.72502593548176,32.409979612903726,,,18140100051,18140100050461,1152.508,6582.087394235549,5.235151,5028.603870967883,,0.0014301671106170337,,1.9801111381085286,,1.9801111381085286,0.7047566235942143,,0.7047566235942143,5.235151,0.8242448637256182,,0.8242448637256182,1.6320964357015504,false,false,true,POINT (4877301.1630631685 -2480700.667383564),MANGOKY,33.421892249627916,33.421892249627916,33.03551859264541,36.72502593548176,true,false,true,1.632096435191843,-5.09707387408298e-10
1124.0,8704.64,1.0008782760513537,2757.0,59486,3,4,53449.52222665689,1141.0332365265951,0.0007222660804702,30.13,133.18,103.05,63.245117395944504,33.11511739594451,103.05,0.0088567360740353,0.1806666666664038,-0.0010371952304679,0.1806666666664038,-1.068376067494687e-07,0.0060222222222046,-2.730294397706808e-07,0.0060222222222046,56189.99999999967,28246.531741935323,26608.925548386946,19356.669548386984,,,32.06117741935799,36.42214890322556,30.805553634408582,,,18140100051,18140100050451,1152.508,6582.087394235549,3.6199763,8889.862193548339,,0.0007744618044429964,,1.0722666139033092,,1.0722666139033092,0.978386090017329,,0.978386090017329,3.6199763,1.55155581234523,,1.55155581234523,1.6636814973688383,false,false,true,POINT (4877160.331483345 -2480537.187722908),MANGOKY,33.408015716000364,33.408015716000364,32.880414445015326,36.42214890322556,true,false,true,1.6636814971854181,-1.8342016794292704e-10
1113.5,6951.5,1.0088066540480074,2757.0,59278,3,5,53452.41765727477,1650.00037137466,0.0007222660804702,29.77,138.1,108.33,61.73881465517241,31.96881465517242,108.33,0.0078082659478849,0.1776666666656324,-0.0011929919137436,0.1729999999989724,-1.438331536271901e-07,0.0058222222221522,2.277358266283164e-07,0.0059222222221518,55650.00000000154,28090.92322580723,26121.511612903952,18243.86516129083,,,31.0,36.7428294623653,29.84,,,18140100051,18140100050441,1152.508,6582.087394235549,3.6199763,9847.0580645164,,0.0008762553008551859,,1.2132028964792834,,1.2132028964792834,1.110852362416868,,1.110852362416868,3.6199763,1.9068714517178746,,1.9068714517178746,2.313421968667514,false,false,true,POINT (4877016.1495255735 -2480389.9216786763),MANGOKY,,,32.72157023750614,36.7428294623653,true,false,true,2.3134219684377815,-2.297326773259556e-10
1018.0,2258.16,1.016735032044661,2757.0,59108,4,5,53456.036945547115,2158.967506222725,0.0007222660804702,29.76,120.21,90.45,58.94064230995876,29.18064230995875,90.45,0.0083634040880501,0.2020000000016412,-0.0011432783018855,0.1539999999996173,-2.490986560475273e-07,0.0067222222223315,4.3264503473149123e-07,0.007777777777739,50879.99999999948,25577.211870967476,23988.44283870943,15515.007999999842,,,31.0,36.27393341935735,29.78833066666681,,,18140100051,18140100050431,1152.508,6582.087394235549,3.6199763,10062.203870967634,,0.000765404216280351,,1.0597260995311697,,1.0597260995311697,1.0171856026862025,,1.0171856026862025,3.6199763,1.7916146999886546,,1.7916146999886546,1.89862085805328,false,false,true,POINT (4876871.970109294 -2480242.655736383),MANGOKY,,,32.59174564483036,36.27393341935735,true,false,true,1.8986208578816837,-1.7159629273066912e-10
1123.0,830.16,1.016735032044661,2757.0,58896,3,4,53459.65623381947,2158.967506222725,0.0007222660804702,29.76,134.5,104.74,62.451084401709394,32.691084401709396,104.74,0.0079442365936218,0.1736666666675301,-0.0010926420808799,0.1399999999992552,-8.318478903092295e-08,0.0057666666667242,-1.3071895399175777e-07,0.0057888888888867,56130.00000000093,27865.829032258527,26346.818451613337,18167.53070967772,,,30.5,36.441819440860506,29.78415643010736,,,18140100051,18140100050421,1152.508,6582.087394235549,3.6199763,9698.298322580806,,0.0008139661080518064,,1.1269615589893258,,1.1269615589893258,1.1082870072179083,,1.1082870072179083,3.6199763,1.8391454691991072,,1.8391454691991072,2.0726462453729013,false,false,true,POINT (4876731.146217367 -2480079.1772397426),MANGOKY,31.922473583820224,31.922473583820224,32.42984674102292,36.441819440860506,true,false,true,2.072646245176781,-1.9612045321082405e-10
1124.0,105.84,1.016735032044661,2757.0,58704,3,3,53463.27552209182,2158.967506222725,0.0007222660804702,28.7,171.89,143.19,62.08812166488794,33.38812166488794,143.19,0.0101429079907398,0.4103333333349319,-0.0015314112831439,0.3413333333346624,5.341880337769159e-07,0.0136777777778843,7.478632478957553e-07,0.0134222222220968,56190.00000000039,27895.616129032453,26374.981806451797,17251.17587096786,,,32.85,35.010072774194704,28.866271311828484,,,18140100051,18140100050411,1152.508,6582.087394235549,3.6199763,10644.440258064593,,0.0006733814271299454,,0.9323176670453216,,0.9323176670453216,0.7526540389826714,,0.7526540389826714,3.6199763,1.6971938358729641,,1.6971938358729641,1.5823237977144822,false,false,true,POINT (4876583.85756278 -2479916.948120236),MANGOKY,32.196496898888725,32.196496898888725,32.28548299090289,35.010072774194704,true,false,true,1.5823237975847824,-1.296998064503896e-10
1098.0,360.5555555555555,1.016735032044661,2757.0,58496,3,4,53467.61866801864,2158.967506222725,0.0007222660804702,27.65,130.89,103.23999999999998,61.27593989071038,33.625939890710384,103.23999999999998,0.0085241479861484,0.1543333333317613,-0.0014958993985759,0.1446666666671185,-1.8842693900751817e-07,0.0051333333332286,-1.884269386197252e-07,0.006177777777778,54869.999999999505,27582.971999999747,25641.163999999764,17988.155999999835,,,30.0,35.49349199999881,29.62948000000076,,,18140100051,18140100050401,1152.508,6582.087394235549,3.6199763,9594.815999999912,,0.0007662362301505325,,1.060878048781839,,1.060878048781839,0.9292567697281104,,0.9292567697281104,3.6199763,1.619903423124082,,1.619903423124082,1.718519982915957,false,false,true,POINT (4876407.275525679 -2479785.453107846),MANGOKY,31.925813112267168,31.925813112267168,32.12960451687557,35.49349199999881,true,false,true,1.718519982738898,-1.7705903410103474e-10
1049.5,425.3333333333333,1.016735032044661,2757.0,58288,3,5,53471.96181394546,2158.967506222725,0.0007222660804702,28.06,119.52,91.46,63.90834857142857,35.84834857142857,91.46,0.0085576519916102,0.338000000000041,-0.0013916523727817,0.2473333333333633,-1.716247140731082e-07,0.0084666666667023,1.7162471412511277e-07,0.0103777777777796,52470.00000000141,26485.72761290394,24956.53741935551,22335.068516129635,,,30.0,35.16770064515493,32.03018270967938,,,18140100051,18140100050391,1152.508,6582.087394235549,3.6199763,4150.659096774303,,0.0011968549123042391,,1.6570830953671238,,1.6570830953671238,0.8823944018202197,,0.8823944018202197,3.6199763,0.8667233361377394,,0.8667233361377394,1.4362325891821888,false,false,true,POINT (4876214.2098886855 -2479698.4304595264),MANGOKY,32.196322731352524,32.196322731352524,31.97345382322482,35.16770064515493,true,false,true,1.4362325886740455,-5.081433052112061e-10
1079.0,4157.222222222223,1.011834242014107,2757.0,58094,4,4,53476.30495987228,3880.1339805775865,0.0007222660804702,28.31,131.46,103.15,63.94601445247359,35.636014452473596,103.15,0.0089836855765695,0.1653333333324912,-0.00157508342603,0.1616666666658433,-2.535089344748004e-07,0.0054333333332769,2.535089346037551e-07,0.0103777777777386,53939.9999999998,27003.1759999999,25431.14399999991,23297.671999999915,,,30.0,34.591624000000564,32.63,,,18140100051,18140100050381,1152.508,6582.087394235549,3.6199763,3705.5039999999863,,0.0009194514852227335,,1.273009366055463,,1.273009366055463,0.7634858713971991,,0.7634858713971991,3.6199763,0.5418886305969909,,0.5418886305969909,0.6898293024131864,false,false,true,POINT (4876021.054618229 -2479623.3135034656),MANGOKY,30.93399141222248,30.93399141222248,31.827823240081507,34.591624000000564,true,false,true,0.6898293021089384,-3.0424796015893207e-10
