width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,slope,elevation_min,elevation_max,elevation_range,elevation_mean,relative_elevation_mean,relative_elevation_max,slope_r_mean,slope_r_max,local_slope_mean,local_slope_max,curvature_mean,curvature_max,local_curvature_mean,local_curvature_max,dist_along_range,channel_dist_along,ridge1_dist_along,floodplain1_dist_along,ridge2_dist_along,floodplain2_dist_along,channel_elevation,ridge1_elevation,floodplain1_elevation,ridge2_elevation,floodplain2_elevation,reach_id,node_id,discharge_value,corrected_discharge,XGB_depth,floodplain1_dist_to_river_center,floodplain2_dist_to_river_center,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda,flag_high_gamma,flag_low_superelevation,flag_single_side,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,single_side_measurement,is_reflected,partial_data_flag,lambda_recalculated,lambda_diff
519.0,2058.25,1.0687841064986303,2702.0,5478,2,3,54578.740167630305,1755.826607837482,0.0001925049658646,0.0,7.57,7.57,2.7539607390300236,2.7539607390300236,7.57,0.0073502890173428,0.1586666666652849,-5.744345269203606e-15,0.1586666666652849,1.1797625472992963e-16,0.0047222222222107,-4.2388490158761516e-16,0.0093222222220903,25950.00000000006,12774.87806451616,12072.60967741938,11694.465161290347,,,0.0,3.201593548387089,2.4336898924730854,,,18140100021,18140100020101,1191.61,6825.040763777039,6.090919,1080.4129032258134,,0.0020307147694329,,10.548895506733244,,10.548895506733244,0.2548385826067268,,0.2548385826067268,6.090919,0.1260735294483481,,0.1260735294483481,1.3299364918105012,False,False,True,POINT (4841087.368624159 -2446098.0171569125),MANGOKY,1.4616543763983965,1.4616543763983965,1.6493923836292232,3.201593548387089,True,False,True,1.3299364883156817,-3.4948197669137926e-09
384.0,423.9183673469388,1.0264905095733374,384.0,8494,1,1,54508.5259751467,5602.7222154588535,0.0001925049658646,0.0,6.71,6.71,3.6433125,3.6433125,6.71,0.0037814293166408,0.136666666666851,0.0001111111111089,0.136666666666851,1.5673981185796482e-07,0.0040111111111216,1.5673981181805477e-07,0.008022222222251,19170.000000000317,9716.510322580803,8758.752387096916,7641.368129032384,10252.223349531758,10674.26825806469,0.0,4.159168258064577,3.424245419355051,3.7518625466640465,3.1680894193548625,18140100021,18140100020251,1191.61,6825.040763777039,6.168484,2075.1421935484195,957.7579354838872,0.0006577171933,0.0013832014416551,3.4166245548315484,7.185276678151095,5.300950616491322,0.2192864762397545,0.1334350480310971,0.1763607621354258,6.168484,0.1191415652062201,0.0946380224556283,0.1068897938309242,0.5666175195686881,False,False,False,POINT (4844233.569415147 -2445632.6897270163),MANGOKY,1.9104762544613811,1.9104762544613811,2.806503137941342,3.62959509677374,False,False,False,0.5666175185046682,-1.0640198722100536e-09
593.0,21750.64,1.1605083075523022,2702.0,11511,3,3,54444.10264389886,5433.250883216051,0.0001925049658646,0.0,15.49,15.49,6.000728008088979,6.000728008088979,15.49,0.0059834682860944,0.1976666666678052,0.0004875168690939,0.1976666666678052,3.2646628347947544e-07,0.0065888888889647,-3.264662841694168e-07,0.0128666666665051,29640.000000000447,15516.954322580876,14406.314838709895,10827.58761290339,16818.750172214484,17364.94330096349,0.5,5.031580215053303,2.8659793548393413,7.13975014118679,6.239063390368743,18140100021,18140100020401,1191.61,6825.040763777039,5.4439454,4689.366709677486,,0.0006051315797394,0.0016490261443455,3.1434595830897334,8.566148602657023,5.854804092873378,0.2032870081104814,,0.2032870081104814,5.4439454,0.3977998861292697,0.1654474254679421,0.2816236557986059,1.6488513349212095,False,False,True,POINT (4847076.107969616 -2444887.417319721),MANGOKY,,,3.924896842350156,5.031580215053303,False,False,False,1.6488513326196417,-2.301568047258229e-09
784.0,6934.0,1.028919838273041,2375.0,14521,3,3,54376.06002437867,2965.440046483084,0.0005999969304163,0.0,13.95,13.95,4.552968630451415,4.552968630451415,13.95,0.0055119959162823,0.1840000000005354,-6.431852985745e-05,0.1840000000005354,-5.108556820901353e-08,0.006133333333369,-5.1085567996696737e-08,0.006133333333369,39179.999999999905,19570.09301934924,18766.99162259308,18337.42575921188,20447.901522780383,20821.437056155337,3.655054331278594,5.763008377407016,4.87,6.124032825739979,5.89143705615517,18140100031,18140100030011,1191.61,6825.040763777039,4.6343417,1232.6672601373575,1251.3440368060983,0.002078862524827,0.0006226871292821,3.4647886004761195,1.0378171915814531,2.251302896028786,0.1598150265228551,0.2377170181531168,0.198766022337986,4.6343417,0.1926936845004363,0.050189602891131,0.1214416436957837,0.2734019248033144,False,False,False,POINT (4849874.221630106 -2445460.475971606),MANGOKY,,,5.022370935689561,5.763008377407016,False,False,False,0.2734019241508138,-6.525005535884532e-10
509.0,528.5555555555555,1.0043593543612723,509.0,17503,1,1,54318.151412021056,934.5903174916432,0.0005999969304163,1.5,13.74,12.24,6.266313309776208,4.766313309776208,12.24,0.0049056603773604,0.1293333333338195,-0.0001391509433947,0.1293333333338195,1.1806375434209789e-07,0.0043111111111435,1.1806375446668848e-07,0.0043111111111435,25439.999999999694,12682.687999999844,11729.42658064502,10670.24722580632,13265.23664516113,13847.785290322412,3.0,7.290573419354729,6.736749075268824,7.253017806452195,6.34,18140100031,18140100030161,1191.61,6825.040763777039,5.408422,2012.4407741935229,1165.0972903225684,0.0005228806066063,0.0015672816553064,0.8714721361050909,2.6121494558630984,1.7418107959840947,0.2229760922166114,0.216032179019409,0.2195041356180102,5.408422,0.102400357088612,0.1688140841177324,0.1356072206031722,0.2362021212154178,False,False,False,POINT (4851704.36445082 -2447984.970519542),MANGOKY,5.4643610393418625,5.4643610393418625,6.084624616714081,7.253017806452195,False,False,False,0.2362021208600021,-3.554156413621001e-10
487.0,1196.4,1.0142451802137735,2375.0,20501,2,2,54258.795084354504,4393.312254449509,0.0005999969304163,2.79,44.57,41.78,10.4356157635468,7.645615763546798,41.78,0.0082511302918235,0.2793333333354674,-0.0001656391286358,0.2793333333354674,1.3717421165070421e-08,0.0093111111112533,-1.3717420896915098e-08,0.0093111111112533,24329.999999999764,12234.821222992598,10971.856327094914,8965.936900695022,,,4.5,9.289350851251012,7.86,,,18140100031,18140100030311,1191.61,6825.040763777039,5.1952796,3268.8843222975756,1304.333153232039,0.0007125664329916,,1.1876167974680365,,1.1876167974680365,0.3669800409569155,0.8683404939799647,0.6176602674684402,5.1952796,0.2751249136333319,,0.2751249136333319,0.3267429689894716,False,False,False,POINT (4854249.761003992 -2449876.320492456),MANGOKY,,,7.240742252942184,9.14730617336951,True,False,True,0.3267429688328878,-1.5658380148053652e-10
308.5,123.13888888888889,1.0701806815032195,308.5,23489,1,1,54203.0580449603,4671.065124006177,0.0005999969304163,6.0,14.78,8.78,10.688446601941749,4.688446601941748,8.78,0.0041121919584981,0.1256666666662818,-4.539559017494054e-06,0.1256666666662818,-1.2995451575622605e-07,0.0041888888888632,1.2995451575694429e-07,0.0041888888888632,15420.000000000397,7270.082322580832,8008.385290322786,8265.18632258086,5504.575225806594,4284.770322580755,6.0,9.722152946236228,9.32024843010776,10.389433634408649,9.204770322580542,18140100031,18140100030461,1191.61,6825.040763777039,6.3611636,995.1040000000276,2985.3120000000763,0.0015650424417279,0.000971190809058,2.6084174141391654,1.6186596294488251,2.1135385217939953,0.1515728917693735,0.2564720470374333,0.2040224694034034,6.3611636,0.0631809746456557,0.1862337437490378,0.1247073591973467,0.2635738083266682,False,False,False,POINT (4856307.504545125 -2452302.535720192),MANGOKY,,,8.757972984350992,9.722152946236228,False,False,False,0.2635738076147931,-7.118751144119527e-10
764.0,950.5555555555557,1.0128432510744252,2375.0,26450,2,3,54134.29156778564,1229.925803529456,0.0005999969304163,3.62,31.15,27.53,12.461240188383048,8.841240188383047,27.53,0.0039033778476037,0.1116666666658812,0.0005737103953931,0.1086666666675627,1.6334730956447183e-06,0.0037111111110589,1.6334730958884722e-06,0.0049777777778177,38189.99999999989,19175.339742668,18301.506847134187,17318.44483965864,20704.547309852183,21287.102573541393,8.0,11.488493152865711,10.034370106894276,11.19,10.70850428923547,18140100031,18140100030611,1191.61,6825.040763777039,4.6343417,1856.8949030093572,2111.7628308733947,0.001479177339206,0.0008265236621308,2.465308177793117,1.3775464843751306,1.9214273310841237,0.2089555951563921,0.1445466300472222,0.1767511126018071,4.6343417,0.3137712193236497,0.1038973260785946,0.2088342727011222,0.401259879735069,False,False,False,POINT (4859364.229387795 -2452973.5057816366),MANGOKY,10.885281161791216,10.885281161791216,10.52012152476323,11.19,False,False,False,0.4012598792350113,-5.000577174563148e-10
436.5,2617.25,1.0789087042922156,2375.0,29455,2,2,54067.69666357439,6240.291893558239,0.0005999969304163,8.9,17.54,8.639999999999999,12.77037087912088,3.870370879120878,8.639999999999999,0.0043645116918761,0.1559999999976636,0.0002553874369593,0.1069999999997794,-1.530456122719331e-08,0.0051999999998442,1.530456093517835e-08,0.0064444444444309,21810.00000000045,11327.035225806683,12643.702580645422,14459.795483871269,10418.988774193764,8602.895870967921,10.0,13.624324731181662,12.02,14.830936387098916,11.737104129031882,18140100031,18140100030761,1191.61,6825.040763777039,5.1952796,3132.7602580645853,2724.1393548387623,0.0008833935353464,0.0017035649722919,1.4723300913114905,2.8392894795476944,2.155809785429592,0.2275699641725596,0.459821498025334,0.3436957310989468,5.1952796,0.3088043098164847,0.5955083260710421,0.4521563179437634,0.9747630152848992,False,False,False,POINT (4862321.5335631985 -2453996.589245095),MANGOKY,12.81936052337824,12.81936052337824,12.442035138720476,13.624324731181662,False,False,False,0.974763014766979,-5.179201512106602e-10
758.0,6355.25,1.0012041492702857,2375.0,32452,4,5,54006.16876294443,1214.5522314845905,0.0005999969304163,11.47,44.94,33.47,18.016178797468356,6.546178797468354,33.47,0.0045405120084458,0.1546666666703615,-0.0008397994193686,0.1546666666703615,-2.6413100753777226e-08,0.0051555555558018,-1.4967423827212594e-07,0.0051555555558018,37890.000000000655,19368.304356861932,20037.73761132384,20636.514530198063,18551.49102488273,18014.11383279115,11.5,16.15208025682183,14.45,15.01,14.738818443721073,18140100031,18140100030911,1191.61,6825.040763777039,4.6343417,1268.2101733361303,1354.190524070782,0.0028425949637126,0.0005046391245575,4.7376825107094005,0.8410695104846815,2.789376010597041,0.3042400488916415,0.1165111207504066,0.2103755848210241,4.6343417,0.3672755198050739,0.0585156584977165,0.2128955891513952,0.5938458491408255,False,False,False,POINT (4864013.779370841 -2456624.820082719),MANGOKY,,,14.470047654581004,15.01,False,False,False,0.4842002715243634,-8.90505336137437e-10
