width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,slope,elevation_min,elevation_max,elevation_range,elevation_mean,relative_elevation_mean,relative_elevation_max,slope_r_mean,slope_r_max,local_slope_mean,local_slope_max,curvature_mean,curvature_max,local_curvature_mean,local_curvature_max,dist_along_range,channel_dist_along,ridge1_dist_along,floodplain1_dist_along,ridge2_dist_along,floodplain2_dist_along,channel_elevation,ridge1_elevation,floodplain1_elevation,ridge2_elevation,floodplain2_elevation,reach_id,node_id,discharge_value,corrected_discharge,XGB_depth,floodplain1_dist_to_river_center,floodplain2_dist_to_river_center,is_reflected,ridge1_slope,ridge2_slope,ridge1_height,ridge2_height,ridge_height_mean,ridge_slope_mean,ridge_width,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda_original,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,partial_data_flag,lambda,single_side_measurement,lambda_diff
39.0,29.0,1.7026719423325922,39.0,2196826,1,1,272.19894750342485,983.4374183814136,0.0017845100140075,224.5,235.47,10.97,229.40809160305344,4.908091603053434,10.97,0.0116179487179575,0.1856666666668831,-0.001971794871807,0.1856666666668831,2.8423772615355964e-06,0.0061888888889033,-2.8423772605946775e-06,0.0061888888889033,3900.0000000000337,2057.9419354838888,1765.6683870967895,1619.53161290324,2236.5535483871163,2691.201290322604,225.0,227.9745458064513,227.66859483870937,230.20857204301345,226.3234632258062,61562000801,61562000800611,19.915,80.11033526651772,1.66167,438.41032258064865,,,0.0020935932610850875,0.008545316407209198,0.3059509677419214,3.8851088172072537,2.0955298924745875,0.005319454850708,4310.732903225844,1.173203425394893,4.7886065867564716,2.980905006075682,2.133233215384984,3.477678798513147,2.8054560069490657,4.66174488852306,0.06563013958467667,0.833402279642578,0.4495162096136273,0.6997697363371473,POINT (-7982142.679740735 744741.68240681),V7_2,,,224.4298140362093,227.9745458064513,false,1.3399651195494273,false,0.64019538321228
36.0,17.632653061224488,1.7026719423325924,36.0,2196629,1,1,272.7987496034044,983.4374183814136,0.0017845100140075,223.58,240.69,17.109999999999985,227.8900826446281,4.3100826446280855,17.109999999999985,0.0226305555555778,0.2603333333329309,0.0009138888888661,0.2603333333329309,2.6984126983989893e-05,0.0083777777777518,-4.1176470589223216e-05,0.0083777777777518,3599.999999999966,1937.1096774193363,1652.3303225806294,1502.4464516128892,2079.49935483869,2259.3599999999788,225.50718709677412,231.1457238709688,225.90467870967672,230.2921909677411,228.57,61562000801,61562000800601,19.915,80.11033526651772,1.6479675,434.66322580644714,,,0.03496737235624736,0.009575140557411052,5.241045161292078,1.7221909677411134,3.4816180645165957,0.0222712566000956,3761.806451612868,19.5949431954829,5.365697296317223,12.480320245900062,4.245433768452861,3.7275034177042343,3.9864685930785475,6.569574667632764,0.7977754156770396,0.2621464942359314,0.5299609549564854,3.4651324118892672,POINT (-7981948.247519428 744720.9098990887),V7_2,,,224.1493827517222,230.2921909677411,false,6.614082435679956,false,3.1489500237906887
36.0,24.979591836734695,2.070340160277197,36.0,2195838,1,1,275.02658597475715,775.1299164037035,0.0017845100140075,223.0,237.14,14.139999999999986,227.41341666666665,4.413416666666666,14.139999999999986,0.017106442577027,0.1706666666662002,0.0032408963585392,0.1706666666662002,4.755178907697036e-05,0.0042444444444156,4.887005649686137e-05,0.0042444444444156,3570.0000000000523,1579.1069677419591,1363.5864516129236,1073.7485161290483,2270.2589677419696,2872.230064516172,223.0,226.89374215053715,224.86082640860215,228.08601574193509,227.68776993548389,61562000801,61562000800561,19.915,80.11033526651772,1.6479675,505.3584516129108,,,0.007013973969719102,0.0006615696466553299,2.0329157419349997,0.3982458064512002,1.2155807741931,0.0038377718208365,3945.978580645221,3.9304761052966684,0.37072901886923754,2.1506025620829528,2.3485613128760856,3.0720421266161146,2.7103017197461003,4.466491859637387,0.45514820262093625,0.08916299838135873,0.2721556005011475,0.2946070427844705,POINT (-7981619.458510849 745312.1635660891),V7_2,224.55819366538717,224.55819366538717,223.02338708659872,226.89374215053715,false,0.5852985317229924,false,0.2906914889385219
45.0,44.0,1.0755991252746857,45.0,2195243,1,1,276.5689342318475,845.3066329085744,0.0017845100140075,222.0,235.59,13.590000000000003,227.74198675496683,5.741986754966889,13.590000000000003,0.0171844444444234,0.1210000000001763,-0.0026022222222208,0.1126666666665375,-8.948545871374453e-07,0.0028000000000081,-1.342281878794683e-06,0.0062444444444627,4500.000000000225,2308.9741935485017,2009.206451613003,1821.8516129033164,2730.5225806452972,4032.6387096776207,222.85,227.89149032261588,224.76086451612875,226.54,225.15578709677413,61562000801,61562000800531,19.915,80.11033526651772,1.1833684,487.1225806451853,,,0.016709607349018333,0.0010630487337496516,3.1306258064871315,1.3842129032258583,2.257419354856495,0.0088863280863856,5854.490322580938,9.36369491785217,0.5957090323983936,4.979701975125282,4.829507274492486,3.68743758550451,4.258472429998498,5.0393459644038785,0.6212365312087605,0.2746810623845711,0.44795879679666584,1.1622560603208487,POINT (-7981375.518072961 744830.9911824291),V7_2,224.10863573311093,224.10863573311093,222.17639919690407,226.54,false,2.2307013051831017,false,1.068445244862253
36.0,68.0,1.096938154496924,36.0,2195036,1,1,277.0830503175443,968.0699797589632,0.0017845100140075,221.0,231.21,10.210000000000008,225.67125,4.6712500000000015,10.210000000000008,0.0161428571428296,0.1629999999987403,-0.0009607843137616,0.1276666666656792,-4.2372881374165654e-06,0.0047555555554713,4.237288133032368e-06,0.0054333333333346,3570.0000000001965,1586.538709677507,761.615354838752,92.75858064516638,2091.8971612904384,3020.8649032259736,221.0,227.4193335913988,227.04517277419532,227.31,225.1095496774196,61562000801,61562000800521,19.915,80.11033526651772,1.6479675,1493.7801290323407,,,0.0005594034942610789,0.0023687047686144387,0.3741608172034887,2.2004503225803944,1.2873055698919416,0.0014640541331308,3113.62348387114,0.31347736346114324,1.327369838230834,0.8204236008459886,3.3600515142506406,3.293707047473024,3.3268792808618324,5.482592258162953,0.06824523867271108,0.4013521741114663,0.2347987063920887,0.0984909847863787,POINT (-7981207.987819036 744735.7007048111),V7_2,221.34369625211133,221.34369625211133,221.88207453753645,227.31,false,0.19263440017217745,false,0.09414341538579875
63.0,246.96,1.1396162129414005,63.0,2194843,1,1,277.51148038895826,1213.5966734597405,0.0017845100140075,220.5,241.54,21.039999999999992,226.97018957345975,6.470189573459716,21.039999999999992,0.0153285714285637,0.1306666666675575,-0.0018777777778037,0.1116666666655103,3.189792661424382e-07,0.0040888888889438,3.189792646318686e-07,0.004599999999978,6300.000000000028,2878.4632258064644,2826.003870967755,2616.1664516129154,3796.501935483888,5750.612903225832,220.97438709677613,220.5,223.2350567741925,231.35387612903224,222.279387096774,61562000801,61562000800511,19.915,80.11033526651772,0.9224661,262.296774193549,,,-0.013034170785970606,0.004643794122961396,-2.7350567741924863,9.074489032258242,3.169716129032878,-0.0041951883613741,8366.779354838747,7.304061441885428,2.6022796658522305,4.953170553868829,0.0,11.766139008136165,5.883069504068082,5.426938064516122,0.01,1.6721195127675266,0.8410597563837633,2.3052387254252946,POINT (-7981041.434388285 744634.9352711572),V7_2,221.34369625211133,221.34369625211133,220.5,220.5,false,4.1659124193641475,false,1.8606736939388528
48.0,211.3469387755102,1.1396162129414005,48.0,2194655,1,1,278.11128248893783,1213.5966734597405,0.0017845100140075,220.5,236.62,16.120000000000005,227.68888198757767,7.188881987577639,16.120000000000005,0.01714166666668,0.2516666666637525,-0.0023833333333457,0.2516666666637525,-9.084556240677312e-07,0.0073999999997986,9.084556266490624e-07,0.0073999999997986,4800.000000000155,2143.153548387165,1893.3470967742544,1613.5638709677933,2762.6735483871853,3602.023225806567,220.5,225.46921548385347,224.6293083870972,231.35554408602084,228.27,61562000801,61562000800501,19.915,80.11033526651772,1.1767858,529.5896774193716,,,0.003001992315062067,0.0036761127874992013,0.8399070967562636,3.085544086020832,1.9627255913885475,0.0033390525588353,5215.58709677436,1.6822501927688538,2.0600124172145726,1.8711313049917133,3.5082447745222622,8.510279639433534,6.0092622069778985,7.071620442910472,0.11877151828733931,0.4363277286911219,0.2775496234892306,0.3368964441082593,POINT (-7980906.921868914 744479.2451302105),V7_2,221.09417246385271,221.09417246385271,221.3407593420267,225.46921548385347,false,0.5193317891993627,false,0.18243534509110343
42.0,89.0,1.4117488242378036,42.0,2194240,1,1,279.13951466033143,1556.0531289818798,0.0017845100140075,218.39,241.9,23.51000000000002,224.87709219858155,6.487092198581574,23.51000000000002,0.0250785714285795,0.3190000000001303,-0.0040642857142863,0.216666666666752,2.3980815350099436e-07,0.0084888888888967,-2.398081534872694e-07,0.0106333333333418,4199.999999999607,2067.610322580451,2268.704516128819,2557.230967741695,1857.772903225632,1700.394838709518,220.0,221.72453161292205,220.1092825806442,224.19969462366268,222.85,61562000801,61562000800481,19.915,80.11033526651772,1.3400382,489.6206451612443,,,0.005598270167779319,0.008576129203497476,1.615249032277859,1.3496946236626854,1.4824718279702722,0.0070871997225867,4257.625806451213,3.1371469612586833,4.80587339727948,3.9715101792690817,0.7259597279269896,2.5730422690501373,1.6495009984885636,2.2103959984138157,0.7307509755885211,0.6106121367534274,0.6706815561709742,1.2508660347485945,POINT (-7980947.981224133 744100.09760789),V7_2,220.56113862674897,220.56113862674897,220.75171711987855,221.72453161292205,false,2.6636186273810525,false,1.412752592632458
67.0,266.204081632653,1.4661753464970846,67.0,2194054,1,1,279.739316760311,1624.5444200863076,0.0017845100140075,218.48,250.32,31.840000000000003,228.83401785714287,10.354017857142866,31.840000000000003,0.0205620328849097,0.1633333333336058,-0.0042301943198809,0.116000000000194,6.506506511595395e-07,0.0040333333333468,-6.506506519253911e-07,0.0068666666666895,6689.999999999767,3349.114709677302,3195.920903225695,3056.653806451506,3510.709593532707,3571.1585722499262,219.0,222.702455741936,222.80350051612984,221.44086959107148,220.35112809818906,61562000801,61562000800471,19.915,80.11033526651772,0.9856737,292.46090322579585,,,-0.0007255466352696919,0.01802745882528091,-0.1010447741938378,0.4410048172052825,0.1699800215057223,0.0005168410391462,6851.423225806212,0.406580310323012,10.102189779701142,5.254385045012077,2.246514964545739,0.119517299955348,1.1830161322505437,0.9856737,0.01,0.6881680094954118,0.3490840047477059,0.1200612491824274,POINT (-7980946.046961016 743902.6186334084),V7_2,,,220.48812277821187,220.60592795699017,false,1.8342217739992708,false,0.03916629020818939
58.5,101.80555555555556,1.4661753464970844,58.5,2193838,1,1,280.2534328460078,1624.5444200863076,0.0017845100140075,218.5,237.33,18.830000000000013,226.634693877551,8.134693877551019,18.830000000000013,0.0093743589743937,0.1753333333366641,-0.0022564102564055,0.1753333333366641,-1.9473081313080713e-06,0.0052444444446587,-2.061855669929776e-06,0.0052444444446587,5849.999999999667,2904.241935483706,3854.130967741717,4584.814838709417,2685.0367741933965,2619.474749034487,218.92232258064516,228.1318135483853,226.2565432258061,223.82457096774215,222.92678369503022,61562000801,61562000800461,19.915,80.11033526651772,1.0728798,1680.572903225711,,,0.0025664591686267693,0.01369370846678632,1.875270322579212,0.4038354838708642,1.139552903225038,0.0017313497500987,6819.263225806064,1.4381870364869709,7.673651791975188,4.555919414231079,7.409770338175459,3.3951187751656975,5.402444556670578,5.7961790379163745,0.323535610323959,0.15489295048323115,0.23921428040359508,0.0971500047200259,POINT (-7980880.449960783 743706.5031142461),V7_2,,,220.18201322014735,223.82457096774215,false,1.089840984252056,false,0.09359734764082096
