width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,slope,elevation_min,elevation_max,elevation_range,elevation_mean,relative_elevation_mean,relative_elevation_max,slope_r_mean,slope_r_max,local_slope_mean,local_slope_max,curvature_mean,curvature_max,local_curvature_mean,local_curvature_max,dist_along_range,channel_dist_along,ridge1_dist_along,floodplain1_dist_along,ridge2_dist_along,floodplain2_dist_along,channel_elevation,ridge1_elevation,floodplain1_elevation,ridge2_elevation,floodplain2_elevation,reach_id,node_id,discharge_value,corrected_discharge,XGB_depth,floodplain1_dist_to_river_center,floodplain2_dist_to_river_center,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda_original,single_side_measurement,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,is_reflected,partial_data_flag,lambda,lambda_diff
54.0,140.6938775510204,1.1028898526487063,54.0,136237,1,1,9062.20259292566,2418.3809087102013,0.0007167015615346,29.0,66.92,37.92,37.81766666666667,8.817666666666666,37.92,0.0405735567971107,0.3220000000022844,-0.0027039106145436,0.3220000000022844,-2.496878884517573e-07,0.0079222222223346,-2.4968789116954744e-07,0.0111555555557373,5370.000000000097,2688.3028387097256,2945.416129032311,3120.5409938900893,2523.2535079536656,2492.239962087122,29.0,32.01638924731174,31.853182456807563,30.121924153507628,29.89125014702848,18192000131,18192000130401,826.547,4586.891704059817,12.750829,413.617032258072,,0.0009319452706203,0.007437846676221,1.300325436189747,10.377885406437771,5.83910542131376,0.3309711725374303,,0.3309711725374303,12.750829,0.0127997003570654,0.0180909026761435,0.0154453015166044,0.0901867464609589,False,POINT (5306542.474479204 -1788290.32155401),BEMARIVO,28.54460421282372,28.54460421282372,27.796232422357473,32.01638924731174,False,False,0.0901867438194307,-2.6415281073610686e-09
129.0,98.0,1.056804591915233,129.0,137235,1,1,9045.705284210131,2133.302383863323,0.0007167015615346,29.5,75.63,46.129999999999995,44.237930232558135,14.737930232558138,46.129999999999995,0.0323170163170348,0.3610000000047279,4.817404816118434e-05,0.2896666666704561,-5.244029074812398e-06,0.0113999999996965,-5.244029076000643e-06,0.0141444444441385,12870.000000000317,6442.915741935641,7139.501032258239,7836.086322580838,,,29.5,33.73066529032202,32.66,,,18192000131,18192000130451,826.547,4586.891704059817,11.132488,1393.170580645197,,0.001537019663865,,2.1445741803241307,,2.1445741803241307,0.429730502679171,,0.429730502679171,11.132488,0.0961748434242216,,0.0961748434242216,0.2062540863003947,True,POINT (5307073.1049896395 -1789177.1995194766),BEMARIVO,28.579376807455937,28.579376807455937,28.946695626012183,33.73066529032202,False,True,0.2062540860043016,-2.9609306673172853e-10
270.0,326.48979591836735,1.067854817013691,2401.0,138241,2,2,9028.070230065949,1618.826161074633,0.0007167015615346,29.62,87.13,57.50999999999999,48.77865555555556,19.158655555555555,57.50999999999999,0.0383759733036692,0.3963333333358325,-0.0007296996663336,0.3879999999902604,7.423904971541563e-07,0.0104444444445765,7.423904966003797e-07,0.0261444444435468,26970.00000000025,13557.732000000124,14287.604000000132,15803.492000000146,,,30.0,33.75,32.46,,,18192000131,18192000130501,826.547,4586.891704059817,7.8512716,2245.760000000022,,0.0008509863519923,,1.187365003321932,,1.187365003321932,0.4454885272139308,,0.4454885272139308,7.8512716,0.1643045949397546,,0.1643045949397546,0.195089526045147,True,POINT (5307218.888227562 -1790163.1233729692),BEMARIVO,30.09828300089099,30.09828300089099,30.25234857815944,33.75,False,True,0.1950895259164504,-1.2869655341418706e-10
84.0,1155.6,1.1170277126317525,84.0,139220,1,1,9009.866303207436,2562.5620486533153,0.0007167015615346,30.5,46.48,15.979999999999997,34.00203571428571,3.5020357142857144,15.979999999999997,0.0192616487455076,0.2290000000005865,-0.0011135005974003,0.2290000000005865,-4.39648281419627e-07,0.0072555555555948,-4.396482821491941e-07,0.0140111111107362,8369.999999999993,4381.811999999996,4904.531999999995,6193.907999999995,4103.027999999996,3040.163999999997,30.5,34.18453200000024,31.544635999999933,35.68,31.706119999999412,18192000131,18192000130551,826.547,4586.891704059817,12.865187,1812.0959999999984,1341.6479999999992,0.0020474213867427,0.0037388414663228,2.856727955718228,5.216734087082539,4.036731021400383,0.2078541711812569,0.3240956218496196,0.2659748965154383,12.865187,0.2051968618878455,0.3088862991265177,0.2570415805071816,1.0376077227386775,False,POINT (5306817.98674406 -1791045.101211515),BEMARIVO,31.16766908318312,31.16766908318312,31.510449219023357,34.18453200000024,False,False,1.037607721823124,-9.155534108629125e-10
153.5,617.2222222222222,1.1527896600852885,153.5,140239,1,1,8993.368994491906,1129.4621452124954,0.0007167015615346,29.37,96.94,67.57,37.903222656249994,8.53322265625,67.57,0.0291741682974369,0.5146666666701148,-0.0001591650358862,0.4020000000027056,3.7037036813053737e-07,0.0151888888890923,7.189542480652791e-07,0.0100666666664985,15330.000000000076,7833.99264516133,8153.120387096815,10833.793419354892,,,31.0,35.359246623652155,31.95494210752729,,,18192000131,18192000130601,826.547,4586.891704059817,10.681002,2999.8007741935617,,0.0012699439558233,,1.771928545968554,,1.771928545968554,0.26815158401527,,0.26815158401527,10.681002,0.3187252016360322,,0.3187252016360322,0.5647582833091465,True,POINT (5306041.381512686 -1791542.4189347608),BEMARIVO,32.802081131209164,32.802081131209164,32.49511901848189,35.359246623652155,False,True,0.5647582830984688,-2.1067769750970908e-10
91.5,1598.5555555555554,1.0474192303207062,91.5,141224,1,1,8977.440558490707,1361.058618809226,0.0007167015615346,31.5,102.01,70.51,38.81567213114755,7.315672131147542,70.51,0.0288135964912269,0.4983333333360828,0.0048048245613973,0.4983333333360828,1.0047671433666396e-05,0.0128222222224388,-1.0047671433329368e-05,0.0128222222224388,9119.999999999896,4470.682838709627,4774.447483870912,6122.403096774124,4053.0064516128577,3578.3741935483463,31.5,35.66404266666954,33.4248061935485,35.63100215053761,34.28,18192000131,18192000130651,826.547,4586.891704059817,12.749044,1651.720258064497,892.3086451612803,0.0016612093529081,0.0028464187267852,2.3178536814558552,3.971553683642737,3.144703682549296,0.2086698830090782,0.2060782756593878,0.207374079334233,12.749044,0.1756395595717639,0.1059688985729134,0.1408042290723386,0.4427875783924566,False,POINT (5305392.86660725 -1792263.686501197),BEMARIVO,32.992324232888954,32.992324232888954,33.00370114671195,35.63100215053761,False,False,0.442787577682298,-7.101585430824287e-10
171.0,631.484375,1.0929118071102584,2401.0,142253,2,3,8960.94324977518,1037.01632952896,0.0007167015615346,27.14,65.47,38.33,39.568546409807354,12.428546409807357,38.33,0.0295140350877422,0.3553333333377068,-0.0005853801169754,0.3553333333377068,7.810974539452783e-08,0.011844444444736,7.810974386531456e-08,0.011844444444736,17100.000000000255,8667.309677419486,8204.543225806574,7243.412903225915,,,32.0,36.27,35.30105806451595,,,18192000131,18192000130701,826.547,4586.891704059817,10.408344,1423.8967741935703,,0.0010081275262175,,1.4066210823637115,,1.4066210823637115,0.265767543592789,,0.265767543592789,10.408344,0.0930928047232157,,0.0930928047232157,0.1309463018762853,True,POINT (5304883.623101601 -1793094.7862184392),BEMARIVO,33.294399566592425,33.294399566592425,33.50379998225126,36.27,False,True,0.1309463017400433,-1.3624196215644702e-10
81.0,132.0,1.018059567053746,2401.0,143428,2,2,8941.032704773681,2217.521237637735,0.0007167015615346,32.5,71.66,39.16,41.69940959409595,9.199409594095942,39.16,0.0285111111111326,0.2526666666681756,0.0031037037037419,0.2526666666681756,2.8087567147176783e-06,0.0079555555556524,-1.049153242231775e-05,0.0088888888889931,8100.000000000197,3616.5716129033135,3211.885161290401,2975.818064516201,4235.26363675601,4577.701935483982,33.7152516129067,36.99748645161258,36.45939354838836,36.71260580474771,35.18099354838678,18192000131,18192000130761,826.547,4586.891704059817,13.263488,640.7535483871125,961.1303225806688,0.0022794066106531,0.004472666338951,3.180412507784276,6.240625916000766,4.710519211892521,0.2040777371229654,0.1589195676645897,0.1814986523937776,13.263488,0.0405694869422144,0.1154758278034352,0.0780226573728248,0.2807126868034372,False,POINT (5304052.235088317 -1793966.0887604314),BEMARIVO,34.129070317723915,34.129070317723915,34.29070383421497,36.39853161289945,False,False,0.367527226517599,-9.93517546010736e-10
150.5,976.8055555555557,1.017285707584629,2401.0,144439,2,2,8923.966523343825,835.5074742726443,0.0007167015615346,32.5,91.86,59.36,46.80091633466135,14.300916334661354,59.36,0.035278110445744,0.356333333339837,0.0020711909514197,0.356333333339837,6.999999998304625e-06,0.0083888888893068,7.000000000772848e-06,0.0108666666664239,15029.999999999724,7336.5147096772835,7711.973806451471,8306.450709677267,6992.343870967612,6679.461290322457,32.5,37.890919870967366,36.53408451612898,37.613125161290334,37.434051612903595,18192000131,18192000130811,826.547,4586.891704059817,10.216203,969.9359999999832,657.0534193548265,0.0022824021340331,0.0005723346676736,3.1845921043426997,0.7985676303650338,1.9915798673538667,0.3040097563407796,0.2768181755081521,0.2904139659244659,10.216203,0.1328120980797257,0.0175283858774869,0.0751702419786063,0.1497075408459811,False,POINT (5303612.62327982 -1794866.6568248095),BEMARIVO,35.04147673939119,35.04147673939119,34.785094486209424,37.613125161290334,False,False,0.1497075405487108,-2.9727029171588976e-10
96.0,237.83673469387756,1.0115972642084914,2401.0,145451,2,2,8906.900341913968,1808.8764398679164,0.0007167015615346,33.0,83.14,50.14,45.24625,12.24625,50.14,0.0348547544409406,0.4033333333325813,0.0050135841170567,0.4033333333325813,4.542278104757495e-07,0.0091888888888547,-4.542278120325534e-07,0.0102555555555021,9570.000000000226,4691.275741935596,4551.8212903226895,4386.88483317077,4930.340516129149,5547.924516129165,33.0,38.79909505376355,38.620643509291995,38.78519109677348,37.38968559139918,18192000131,18192000130861,826.547,4586.891704059817,12.839325,1852.752000000044,856.6487741935689,0.0010819411697757,0.0022596205586845,1.5096118493994928,3.1528054073808187,2.3312086283901556,0.223697467225484,0.2226145476023674,0.2231560074139257,12.839325,0.0138988260264115,0.1086899432309955,0.0612943846287035,0.11966752797579,False,POINT (5303242.030618198 -1795828.0669045185),BEMARIVO,34.43257405857916,34.43257405857916,35.926970570378714,38.78519109677348,False,False,0.1428899983182986,-1.8269886992161588e-10
