width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,slope,elevation_min,elevation_max,elevation_range,elevation_mean,relative_elevation_mean,relative_elevation_max,slope_r_mean,slope_r_max,local_slope_mean,local_slope_max,curvature_mean,curvature_max,local_curvature_mean,local_curvature_max,dist_along_range,channel_dist_along,ridge1_dist_along,floodplain1_dist_along,ridge2_dist_along,floodplain2_dist_along,channel_elevation,ridge1_elevation,floodplain1_elevation,ridge2_elevation,floodplain2_elevation,reach_id,node_id,discharge_value,corrected_discharge,XGB_depth,floodplain1_dist_to_river_center,floodplain2_dist_to_river_center,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda_original,flag_high_gamma,flag_low_superelevation,flag_single_side,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,single_side_measurement,partial_data_flag,lambda,lambda_diff,is_reflected
70.5,908.56,1.1,70.5,824697.0,1.0,1.0,7952.71,2433.29,0.00114,474.5,481.53,7.03,478.23,3.73,7.03,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,7020.0,3602.0,3251.27,2915.16,3690.187018517676,4288.84,476.18,479.35,478.87,479.1098003341689,477.55,12221800041.0,12221800040231.0,128.09,605.1089901241243,3.8424513,686.8400000000001,686.8400000000001,0.0014281038903094,0.0026055166846427,1.252722710797776,2.2855409514410523,1.7691318311194142,0.4226998017657099,0.2899720643257298,0.3563359330457198,3.8424513,0.1249202559834702,0.4059388688072298,0.26542956239535,0.39196674169425,False,False,False,POINT (3848755.12286797 -1559897.8349524324),LILONGWE,477.34645416756814,477.34645416756814,477.7257961744958,478.84,False,False,0.4695798877537104,-8.897634851123826e-10,False
129.0,502.25,1.1,129.0,825097.0,1.0,1.0,7935.03,2433.29,0.00114,474.5,480.61,6.11,477.93,3.43,6.11,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,12900.0,6619.06,6377.37,5947.7,6728.818879612358,7585.81,478.79,479.98,479.09,480.4658020050125,478.24,12221800041.0,12221800040251.0,128.09,605.1089901241243,2.537881,671.3600000000006,966.75,0.002071357083177,0.0025972287803967,1.816979897523734,2.2782708599971184,2.047625378760426,0.8933561725046498,0.976102336431885,0.9347292544682676,2.537881,0.350686261491395,0.8770316673683439,0.6138589644298695,1.1447420731585205,False,False,False,POINT (3848441.307555483 -1559630.433890256),LILONGWE,,,477.7127674502116,479.98,False,False,1.2569531945461945,-1.9841344123250333e-09,False
85.5,92.25,1.01,85.5,825511.0,1.0,1.0,7917.36,892.07,0.00114,474.5,481.33,6.83,479.01,4.51,6.83,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,8520.0,4353.92,2881.81,1019.51,4726.38,5879.24,476.5,480.61,479.63,481.23,478.85,12221800041.0,12221800040271.0,128.09,605.1089901241243,2.8141277,3334.41,1525.3199999999997,0.000526231004389,0.0020644310652946,0.461606144200949,1.8109044432409016,1.1362552937209254,1.0296133148350055,1.249930175254362,1.1397717450446838,2.8141277,0.348242903120572,0.8457327647213719,0.596987833920972,0.6783305870983939,False,False,False,POINT (3848120.4110733415 -1559381.7339788645),LILONGWE,,,477.7125356208207,480.61,False,False,0.678330586579693,-5.187008600415766e-10,False
115.0,2166.14,1.04,115.0,825912.0,1.0,1.0,7899.68,1430.14,0.00114,474.5,481.82,7.32,479.29,4.79,7.32,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.01,11490.0,5847.74,3814.63,2666.52,6445.72,9411.67,477.0,480.97,479.0,481.7,478.21,12221800041.0,12221800040291.0,128.09,605.1089901241243,2.6955528,3181.22,3563.9300000000003,0.0017158634610657,0.0011766887502565,1.505143386899754,1.032183114260104,1.268663250579929,1.1718993791143224,1.442715713776224,1.3073075464452732,3.5239178245892617,0.5590368726119898,0.9903749672161536,0.7747059199140716,0.9828409312163586,False,False,False,POINT (3847789.525323391 -1559179.7375248778),LILONGWE,477.6090252802855,477.6090252802855,477.8110821754108,480.97,False,False,0.9828409306017,-6.146585462829535e-10,False
108.0,57.04,1.06,108.0,826310.0,1.0,1.0,7880.4,1699.17,0.00114,474.5,485.31,10.81,479.83,5.33,10.81,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,10770.0,5481.3,3911.9,2185.55,5952.13,6893.77,477.0,482.16,480.08,481.88,480.14,12221800041.0,12221800040311.0,128.09,605.1089901241243,2.8165274,3295.75,1412.4700000000005,0.0012048541713993,0.0018478399368677,1.0568896240344765,1.620912225322607,1.3389009246785415,1.440483160259916,1.3410699961675427,1.3907765782137294,3.9171617305937616,0.5309967121742394,0.444199172684213,0.4875979424292262,0.6528453365420469,False,False,False,POINT (3847448.8358525247 -1558958.1101804134),LILONGWE,,,478.1028382694062,481.88,False,False,0.6528453359898452,-5.522017287873382e-10,False
139.0,326.92,1.08,139.0,826683.0,1.0,1.0,7862.72,1714.57,0.00114,474.5,489.52,15.02,480.63,6.13,15.02,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.0,13890.0,7011.37,7329.44,9469.16,6461.99,6143.92,477.5,481.73,478.0,482.45,482.46,12221800041.0,12221800040331.0,128.09,605.1089901241243,2.4402316,2457.79,867.4499999999998,0.0017432187380857,-3.143962011051433e-05,1.5291392439348517,0.0275786141320301,0.7783589290334408,1.3537987350066716,1.648852575365976,1.501325655186324,3.663583807002055,1.0181287494695834,0.01,0.5140643747347917,0.4001265963679545,False,False,False,POINT (3847239.928359574 -1558601.9154778423),LILONGWE,,,478.426416192998,481.73,False,False,0.4001265961728178,-1.9513662907755247e-10,False
104.5,130.67,1.2,104.5,827307.0,1.0,1.0,7833.8,1791.59,0.00114,478.0,489.84,11.84,481.82,3.82,11.84,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,10440.0,5313.35,4813.49,1379.65,5530.69,8247.33,478.45,482.4,479.8,482.45,479.34,12221800041.0,12221800040361.0,128.09,605.1089901241243,2.8074791,3933.7,2933.9799999999996,0.000757169815496,0.0011447965129186,0.6641840486807048,1.004207467472466,0.8341957580765855,1.2174240627026771,1.235233627942342,1.2263288453225096,2.8074791,0.926097722330316,1.1077553524797437,1.0169265374050298,0.8483158040348434,False,False,False,POINT (3846948.500568411 -1558129.1502452951),LILONGWE,478.6931599141355,478.6931599141355,478.98210617070106,482.4,False,False,0.848315803778786,-2.5605739750744755e-10,False
73.5,191.81,1.2,73.5,827681.0,1.0,1.0,7812.91,1791.59,0.00114,478.0,486.57,8.57,482.57,4.57,8.57,0.0,0.16,0.0,0.16,0.0,0.01,0.0,0.01,7350.0,3786.63,3511.21,1996.45,,,479.06,482.84,480.82,,,12221800041.0,12221800040381.0,128.09,605.1089901241243,3.7564447,1790.18,,0.0013335445870411,,1.1697759535448595,,1.1697759535448595,0.8919844383410824,,0.8919844383410824,3.7564447,0.5377425095596328,,0.5377425095596328,0.6290382572802107,False,False,True,POINT (3846546.6357075446 -1558095.5074739247),LILONGWE,479.51434486972,479.51434486972,479.4893088921267,482.84,True,True,0.6290382568817253,-3.9848535582365225e-10,False
92.0,340.53,1.55,92.0,828075.0,1.0,1.0,7793.63,2245.25,0.00114,478.5,487.38,8.88,482.92,4.42,8.88,0.0,0.16,0.0,0.15,0.0,0.01,0.0,0.01,9180.0,4767.64,4500.1,3984.12,4920.52,5092.51,478.5,483.53,482.65,483.2,483.1,12221800041.0,12221800040401.0,128.09,605.1089901241243,3.2691314,783.5200000000004,324.8699999999999,0.0017054924576427,0.0005814291494769,1.49604601547609,0.5100255697166037,1.003035792596347,1.0662380585239164,0.9652938447013182,1.0157659516126172,3.2691314,0.2691846525349196,0.030589165060776,0.1498869087978478,0.1503419348007559,False,False,False,POINT (3846161.0972779123 -1558198.1137208475),LILONGWE,,,480.04432661676634,483.2,False,False,0.1503419343658656,-4.348902349349259e-10,False
189.0,2185.39,1.55,189.0,828478.0,1.0,2.0,7772.74,2245.25,0.00114,474.5,488.42,13.92,482.75,8.25,13.92,0.0,0.17,0.0,0.08,0.0,0.01,0.0,0.01,18900.0,9658.35,9343.59,6353.41,11074.75,11782.95,481.07,483.77,480.15,485.39,484.21,12221800041.0,12221800040421.0,128.09,605.1089901241243,2.376239,3304.9400000000005,2124.6000000000004,0.0012106294600289,0.0016661959874806,1.0619556666920642,1.4615754276146218,1.261765547153343,1.3277630504967664,2.00951236874745,1.668637709622108,3.9650836711124384,0.912969384826218,0.2975977552748458,0.6052835700505319,0.7637259556604751,False,False,False,POINT (3845759.5785674686 -1558218.4981407137),LILONGWE,480.8534028209955,480.8534028209955,480.61491632888755,483.77,False,False,0.7637259549477383,-7.127367585013643e-10,False
