width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,slope,elevation_min,elevation_max,elevation_range,elevation_mean,relative_elevation_mean,relative_elevation_max,slope_r_mean,slope_r_max,local_slope_mean,local_slope_max,curvature_mean,curvature_max,local_curvature_mean,local_curvature_max,dist_along_range,channel_dist_along,ridge1_dist_along,floodplain1_dist_along,ridge2_dist_along,floodplain2_dist_along,channel_elevation,ridge1_elevation,floodplain1_elevation,ridge2_elevation,floodplain2_elevation,reach_id,node_id,discharge_value,corrected_discharge,XGB_depth,floodplain1_dist_to_river_center,floodplain2_dist_to_river_center,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda_original,single_side_measurement,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,is_reflected,partial_data_flag,lambda,lambda_diff
108.0,445.36,1.1722848246162052,108.0,248271,1,1,6806.0517021918795,2876.1624404250633,0.0004887514164465,41.0,58.61,17.61,50.07236111111111,9.072361111111112,17.61,0.0122692664809653,0.2626666666701626,0.0001615598885292,0.2303333333302887,1.738050900256352e-06,0.0085111111113441,3.848541275228695e-06,0.0087555555555563,10770.000000000084,5436.464387096817,5234.683225806492,4629.33974193552,5974.547483871013,6064.228000000047,41.0,49.023416129032256,48.3906602580646,49.356335225807065,48.97,61302000121,61302000120461,432.189,2267.8032999967577,8.573809,807.1246451612969,627.7636129032308,0.0010452840193737722,0.004307905866011008,2.13868233257221,8.81410410497002,5.476393218771115,0.3860423827217603,0.4248721603357483,0.4054572715287543,8.573809,0.07380102250559309,0.04505992911750964,0.059430475811551364,0.3254646577482188,false,POINT (-8059702.389920392 935470.0123704564),VENEZ_2023,,,45.71356247367098,49.023416129032256,false,false,0.3254646547227207,-3.0254981298050154e-09
67.0,76.22222222222221,1.1722848246162052,67.0,248068,1,1,6806.9962005968355,2876.1624404250633,0.0004887514164465,40.5,53.49,12.990000000000002,48.42258928571429,7.922589285714286,12.990000000000002,0.0083901345291521,0.249666666667961,0.0003452914798219,0.249666666667961,-2.5025024879879506e-07,0.0083222222223085,-2.502502486731292e-07,0.0083222222223157,6689.999999999691,3376.9681290321028,3000.946967741797,1872.8834838708813,,,40.5,48.52810606451723,46.888588989247346,,,61302000121,61302000120451,432.189,2267.8032999967577,11.432968,1504.0846451612215,,0.001453390786297365,,2.9736809703066243,,2.9736809703066243,0.2542969125915073,,0.2542969125915073,11.432968,0.143402577114699,,0.143402577114699,0.4264335150369313,true,POINT (-8059624.321040766 935637.2600265425),VENEZ_2023,45.93881481154962,45.93881481154962,45.62073760035973,48.52810606451723,false,true,0.42643351465890866,-3.780226132121811e-10
94.0,230.97959183673467,1.1722848246162052,94.0,247667,1,1,6809.200030208401,2876.162440425064,0.0004887514164465,40.0,67.72,27.72,48.3828025477707,8.3828025477707,27.72,0.0132960596378808,0.4686666666650115,0.0007103301384547,0.4686666666650115,-3.5612537095303645e-08,0.0149999999998944,-1.0683760799164857e-07,0.0149999999998944,9389.999999999938,4563.943870967712,5580.406322580608,6420.942580645118,,,40.0,50.02485324731593,48.29219935483867,,,61302000121,61302000120431,432.189,2267.8032999967577,9.70421,1856.9987096774057,,0.002061367220975864,,4.217618919579145,,4.217618919579145,0.4727308113334159,,0.4727308113334159,9.70421,0.17854661971219288,,0.17854661971219288,0.7530416022209536,true,POINT (-8059636.766865461 936049.1374887467),VENEZ_2023,45.63980689829773,45.63980689829773,45.43737418066608,50.02485324731593,false,true,0.7530416013250474,-8.959062380853311e-10
82.0,119.1388888888889,1.2912059908104003,82.0,246484,1,1,6814.39477143566,3468.1162625198726,0.0004887514164465,40.0,53.36,13.36,47.71518248175183,7.715182481751825,13.36,0.008323565323598,0.2690000000054313,0.0008266178266252,0.2546666666718009,-4.0849671736133434e-08,0.0089666666670287,4.0849673333503053e-08,0.0089666666667754,8189.9999999995935,4065.938709677218,3946.59367741916,673.1299354838375,4287.579483870755,4389.875225806234,40.0,48.08340632258069,43.60562335483878,48.26677264516081,47.899376129030365,61302000121,61302000120371,432.189,2267.8032999967577,10.201247,3392.8087741933805,323.9365161290161,0.0013679036395028705,0.0035915132496,2.798771713948792,7.348343408828027,5.07355756138841,0.3123993744618076,0.330374267392066,0.3213868209269368,10.201247,0.4389446670335417,0.03601486329371772,0.2374797651636297,1.2048672668537952,false,POINT (-8060243.382478472 937044.5494512817),VENEZ_2023,,,44.8965431410503,48.08340632258069,false,false,1.2048672582226774,-8.63111782045678e-09
92.0,2.7755102040816326,1.2912059908104003,92.0,246291,1,1,6815.496686241442,3468.116262519873,0.0004887514164465,40.0,63.34,23.340000000000003,48.61364820846905,8.613648208469055,23.340000000000003,0.0094901960784218,0.2756666666661653,0.0009564270152538,0.2383333333328997,-5.10018215266445e-07,0.0089555555555229,-1.0928961744762536e-06,0.0091888888888554,9179.999999999693,4595.646193548234,4500.095225806302,4117.891354838572,,,40.0,48.2437494193145,47.078956387097016,,,61302000121,61302000120361,432.189,2267.8032999967577,9.70421,477.7548387096622,,0.00304756994276559,,6.235419152179961,,6.235419152179961,0.3540154132728835,,0.3540154132728835,9.70421,0.12002966055119187,,0.12002966055119187,0.7484352461887709,true,POINT (-8060275.703099009 937243.0425588884),VENEZ_2023,,,44.80830950567765,48.2437494193145,false,true,0.7484352442305613,-1.9582095944770117e-09
129.5,353.25,1.2912059908104003,129.5,246079,1,1,6816.441184646398,3468.1162625198726,0.0004887514164465,40.0,74.14,34.14,50.17310185185185,10.173101851851852,34.14,0.0123209590100358,0.2903333333320659,0.0021245166279974,0.2356666666653735,3.4883720935314643e-06,0.0095777777776942,3.4883720927779853e-06,0.0096777777776824,12929.999999999667,6580.61922580628,6392.2027096772545,6015.369677419199,,,40.0,48.626608129032064,46.90536967741952,,,61302000121,61302000120351,432.189,2267.8032999967577,8.381973,565.2495483870807,,0.004567642164305271,,9.345532331168718,,9.345532331168718,0.467099866765948,,0.467099866765948,8.381973,0.20535003532134288,,0.20535003532134288,1.9191053993949685,true,POINT (-8060227.647398988 937441.0018400485),VENEZ_2023,,,44.71138965749629,48.626608129032064,false,true,1.919105394302248,-5.09272046755882e-09
139.5,243.80555555555557,1.2912059908104003,139.5,245885,1,1,6817.385683051355,3468.1162625198726,0.0004887514164465,40.0,83.89,43.89,50.683032258064515,10.683032258064516,43.89,0.0100560344827556,0.2680000000046149,0.0025402298850579,0.2279999999978297,1.6798656072603733e-07,0.0075999999998553,2.639788820350854e-07,0.0086888888889623,13920.000000000002,7084.471741935486,6939.584000000001,6475.9432258064535,8127.663483870969,9257.787870967744,40.0,47.1493013333321,46.66,48.81922116129042,47.5981414193547,61302000121,61302000120341,432.189,2267.8032999967577,8.20998,608.5285161290321,2173.3161290322587,0.0010553457752455907,0.0010804826042132634,2.1592689856912397,2.2106996887476766,2.184984337219458,0.3077477022238363,0.5111489075810143,0.4094483049024253,8.20998,0.05959835874534418,0.14873114696207845,0.10416475285371132,0.2275983538201345,false,POINT (-8060160.787572599 937623.5843352065),VENEZ_2023,,,44.622698853028446,47.1493013333321,false,false,0.2275983534756951,-3.444393936735679e-10
132.5,815.1388888888888,1.2912059908104003,132.5,245694,1,1,6818.330181456311,3468.1162625198726,0.0004887514164465,39.5,62.45,22.950000000000003,49.143868778280535,9.643868778280543,22.950000000000003,0.0059561602418736,0.2336666666661069,0.0006318972033283,0.2336666666661069,8.585858582815989e-07,0.0077888888888515,-8.585858580273525e-07,0.0077888888888515,13229.999999999922,6666.449635329827,7872.825838958636,8294.768779289272,6501.330600724208,6219.252249939611,39.5,48.476432671844535,47.47132201599241,46.47467759710333,46.43691591668679,61302000121,61302000120331,432.189,2267.8032999967577,8.381973,275.19839100936315,447.1973853902164,0.002382100889476697,0.00013386947341982808,4.873849587579555,0.27390094210495614,2.5738752648422554,0.2938755913981232,0.2313653409832203,0.2626204661906717,8.381973,0.11991337312254778,0.01,0.06495668656127389,0.1601188238878583,false,POINT (-8060072.841388221 937786.7071811493),VENEZ_2023,,,44.535379555846184,46.47467759710333,false,false,0.1671904088261742,0.007071584938315889
150.0,571.8055555555555,1.2912059908104003,150.0,245490,1,1,6819.274679861267,3468.1162625198726,0.0004887514164465,39.5,63.91,24.409999999999997,49.3192,9.8192,24.409999999999997,0.0092070808283063,0.3699999999938418,0.0007635270540971,0.3699999999938418,1.338688077209238e-07,0.012255555555146,4.462293613265022e-07,0.012255555555146,14969.999999999836,7556.534064516049,7657.840134926365,8148.637806451525,,,39.5,48.43679593753264,46.33970081720407,,,61302000121,61302000120321,432.189,2267.8032999967577,6.7637377,592.1037419354761,,0.004272830206261959,,8.742338257202114,,8.742338257202114,0.3153873557480328,,0.3153873557480328,6.7637377,0.31004974074150865,,0.31004974074150865,0.0414513171399706,true,POINT (-8059924.246790244 937955.5270816938),VENEZ_2023,,,44.44211706042638,46.575314408602665,false,true,2.710559710120088,-1.0231765434909335e-10
169.0,638.8888888888889,1.2912059908104003,169.0,245282,1,2,6820.219178266224,3468.1162625198726,0.0004887514164465,39.5,67.55,28.049999999999997,49.87886524822695,10.378865248226951,28.049999999999997,0.0075008880994788,0.2400000000013825,0.0007833037300251,0.2400000000013825,5.338078296020348e-07,0.0080000000000921,1.4037168847348763e-06,0.0080000000000921,16889.99999999986,8443.048141685676,8568.80844536934,8886.203497523344,,,39.5,46.62476621852273,45.95793216749217,,,61302000121,61302000120311,432.189,2267.8032999967577,7.333719,443.1553558376672,,0.0021009591813234887,,4.298625253300857,,4.298625253300857,0.3105846201493296,,0.3105846201493296,7.333719,0.09092713410897835,,0.09092713410897835,0.3908616761225955,true,POINT (-8059784.929566128 938095.9374039569),VENEZ_2023,,,44.34702588862581,46.62476621852273,false,true,0.39086167489112805,-1.2314674280311522e-09
