channel_elevation,channel_slope_r,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id,slope,discharge_value,corrected_discharge,XGB_depth,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda_original,single_side_measurement,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,is_reflected,partial_data_flag,lambda,lambda_diff
60.93,0.0,-6.666666666626901e-05,1409.999999999981,6.809806451539316,65.49,0.0053333333333176,0.0001444444444435,930.0000000000988,473.1901935483428,61.65,0.0,-7.777777777731086e-05,60.00000000018022,1349.9999999998006,64.25,0.0,-0.0002888888888921,1709.9999999998422,306.8098064514006,63.42,0.0,-0.000255555555554,2040.0000000002165,630.0000000002356,42.0,0.0,1.16263291027553,42.0,72452,1,1,3401.05396906672,2384.95790825337,1,61303300041,61303300040901,0.0013154173120773,112.196,523.9943668063695,3.9518228,0.004413793098375359,0.0025151515075269863,3.3554318145662236,1.9120559570217854,2.6337438857940043,1.0754601062323272,0.7616808547942326,0.91857048051328,3.9518228,0.971703488324425,0.21002966023678954,0.5908665742806073,1.5561912301828038,false,POINT (-7977156.795431948 969421.8907288214),VENEZ_2022_N,60.60949477994142,60.60949477994142,61.23997223170066,64.25,false,false,1.5561912273315983,-2.8512054939255904e-09
59.17,0.0020000000000057,-1.1111111111148967e-05,1920.0000000002497,11.557935484082236,62.28,0.0030000000000086,-4.444444444464444e-05,2459.9999999996826,551.5579354835152,58.64,0.0013333333333372,-8.888888888935251e-05,3389.999999999888,1469.9999999996385,65.73,0.0013333333333374,4.444444444471077e-05,1109.9999999997056,798.4420645164619,63.54,0.0016666666666714,2.2222222223390017e-05,540.0000000003598,1379.99999999989,61.5,29.8055555555556,1.59044468263853,61.5,71233,1,1,3402.03614354589,839.089825318477,1,61303300041,61303300040841,0.0013154173120773,112.196,523.9943668063695,3.4699821,0.003913978490414212,0.0038421052564217776,2.9754652416983007,2.9208261295834292,2.948145685640865,0.9163777487961974,1.910619188831292,1.4134984688137449,4.904814385161096,0.7421279816443954,0.4465000768684696,0.5943140292564325,1.7521243437416307,false,POINT (-7977781.219750672 969670.8413466518),VENEZ_2022_N,59.157002267096466,59.157002267096466,59.1001856148389,62.28,false,false,1.7521243412681904,-2.47344034143282e-09
58.25,0.0003333333333304,1.1111111110919928e-05,1439.999999999864,6.863096774226506,62.1,0.0,-0.0004888888888944,479.9999999999344,953.1369032257032,59.75,0.0013333333333572,-3.333333333247412e-05,59.9999999997174,1380.0000000001469,61.84,0.0,-2.222222222248002e-05,1919.9999999997983,486.8630967741608,60.56,0.0016666666666557,-1.111111111083822e-05,2280.0000000003597,840.0000000004957,42.0,98.0,1.03112722142372,42.0,70838,1,1,3402.38123187641,1017.69688579887,1,61303300041,61303300040821,0.0013154173120773,112.196,523.9943668063695,3.9518228,0.005595238081913212,0.003555555545673471,4.253584037963772,2.702986735105802,3.478285386534787,0.9209675208716088,0.8551750971829765,0.8880713090272927,3.9518228,0.5946622910318756,0.3239011627748089,0.45928172690334224,1.5975129230402745,false,POINT (-7977875.973937183 970067.0025264361),VENEZ_2022_N,61.48390944486602,61.48390944486602,58.4604995529601,61.84,false,false,1.5975129189903563,-4.04991817859468e-09
57.01,0.001666666666638,-2.222222222365565e-05,2520.000000000164,7.392000000003918,61.32,0.0063333333333904,0.0001666666666707,1679.9999999998672,832.608000000293,58.0,0.0,-4.44444444453375e-05,1139.9999999997103,1380.0000000004538,60.32,0.0923333333317378,0.0027555555554511,2670.000000000265,157.39200000010487,58.49,0.0003333333333362,-2.2222222222695433e-05,3989.999999999743,1469.999999999579,84.0,194.4,1.19104860507186,84.0,70429,1,1,3402.64668443834,928.081089810589,1,61303300041,61303300040801,0.0013154173120773,112.196,523.9943668063695,2.4514077,0.006148148136760903,0.0013863636353139079,4.673914567120741,1.0539344606348306,2.863924513877786,1.4329345357058674,1.0250056546796718,1.2289700951927696,2.4514077,1.3543238850069699,0.7465098522779374,1.0504168686424538,3.008314624861098,false,POINT (-7978174.37295678 970354.8839078909),VENEZ_2022_N,57.37542736311569,57.37542736311569,57.80729324557471,60.32,false,false,3.0083146198958657,-4.965232225373484e-09
56.1,0.0039999999999497,8.888888888671431e-05,2250.000000000384,4.942064515890706,59.34,0.0133333333335423,0.0003666666666803,2669.9999999997312,415.05793548345673,55.77,0.0010000000000166,-7.777777777700552e-05,3869.9999999995593,1619.9999999991755,,,,,,,,,,,67.0,2.22222222222222,1.3700175019139,67.0,70053,1,1,3402.96522751267,824.298469520814,1,61303300041,61303300040781,0.0013154173120773,112.196,523.9943668063695,3.7490215,0.0029749999975212595,,2.2616396866657893,,2.2616396866657893,0.5707240699387511,,0.5707240699387511,3.7490215,0.9522484733683176,,0.9522484733683176,2.153642940731401,true,POINT (-7978110.70816957 970675.8568047383),VENEZ_2022_N,56.36543960902861,56.36543960902861,57.20034319123212,59.34,false,true,2.1536429389366982,-1.7947026087483664e-09
55.31,0.0016666666666589,3.333333333302032e-05,1560.0000000004263,3.066193547929288,59.04,0.0006666666666637,-2.2222222222022913e-05,1920.0000000001648,356.93380645180923,55.62,0.0029999999999864,8.888888888808662e-05,2970.000000000194,1409.999999999768,59.55,0.0,-0.0005777777777727,1140.000000000414,423.0661935479416,57.4,0.0,-1.111111111101256e-05,300.0000000004033,1260.000000000023,55.5,3416.0,2.14066376073353,55.5,69226,1,1,3403.6554041737,503.457420416514,1,61303300041,61303300040741,0.0013154173120773,112.196,523.9943668063695,3.7714996,0.003257142854040727,0.0025595238064767233,2.476128924361703,1.9457884452157141,2.2109586847887086,0.8316981916743837,0.9669229176693164,0.8993105546718501,3.7714996,0.9068011037307288,0.5700650213511884,0.7384330625409585,1.6326449944860078,false,POINT (-7978571.208525457 971042.9739651665),VENEZ_2022_N,55.718031710218334,55.718031710218334,55.90325060277934,59.04,false,false,1.632644992760056,-1.7259518259038487e-09
54.67,0.0010000000000156,1.0070142058347117e-15,2909.9999999997167,2.5064516132761128,59.16,0.0006666666666761,-0.0002555555555551,2339.999999999622,572.5064516133707,58.56,0.0026666666667043,1.1111111113547168e-05,2099.999999999735,809.9999999999818,57.24,0.0013333333333157,-4.444444444569388e-05,3179.9999999999973,267.49354838700447,53.57,0.0039999999999414,0.0001333333333294,5250.000000000193,2340.000000000476,89.0,159.555555555556,1.11625960941545,89.0,68820,1,1,3404.00049250422,791.709177909898,1,61303300041,61303300040721,0.0013154173120773,112.196,523.9943668063695,2.4484103,0.0024999999895844844,0.001772946859046719,1.9005375454854687,1.3478208343228286,1.6241791899041487,1.5710235952159155,0.7868413035469113,1.1789324493814135,2.4484103,0.24505696614656225,1.498931776263154,0.8719943712048581,1.4162751151609918,false,POINT (-7978331.506286286 971314.3241100017),VENEZ_2022_N,55.31759900258501,55.31759900258501,55.31348964793032,57.24,false,false,1.416275111424484,-3.736507769858122e-09
52.71,0.001999999999976,-0.0001222222222251,2910.000000000117,1.299096774240752,55.8,0.0013333333333591,4.444444444616125e-05,2489.9999999997776,421.29909677458,54.9,0.0039999999999538,7.777777777598687e-05,2220.000000000293,689.999999999824,56.2,0.0013333333333172,1.111111110979906e-05,3690.000000000072,778.7009032257142,54.88,0.0003333333333294,-7.777777777867276e-05,3930.00000000012,1020.0000000000032,84.5,55.1388888888889,2.48477134184693,84.5,67625,1,1,3404.9561217272,550.479679030126,1,61303300041,61303300040661,0.0013154173120773,112.196,523.9943668063695,2.4514077,0.00333333332099401,0.0054999999770822304,2.5340500618241277,4.181182600065267,3.3576163309446976,0.7964722965577279,0.9596438489682084,0.8780580727629681,2.4514077,0.36713599292357557,0.5384661229545784,0.452801057939077,1.520332232874392,false,POINT (-7978071.053224995 972231.9752126551),VENEZ_2022_N,54.08611737572494,54.08611737572494,53.8475216793817,55.8,false,false,1.520332226805281,-6.069110991546722e-09
52.05,0.0009999999999999,-0.0001333333333333,1530.0000000001194,5.355483870968101,55.35894088669951,0.0009999999999999,-8.88888888888731e-05,1264.6387460758976,294.6445161290576,53.83,0.0,-1.11111111111073e-05,900.0000000000689,630.0000000000505,54.35913793103448,0.0,-0.0001888888888888,2011.2059238365466,395.35548387099766,53.21,0.0009999999999999,1.111111111111511e-05,2490.000000000195,960.0000000000756,61.5,23.0,1.58055403263959,61.5,66429,1,1,3405.88520569398,1965.40119760781,1,61303300041,61303300040601,0.0013154173120773,112.196,523.9943668063695,3.4699821,0.004193029125293579,0.00240006713917999,3.187603726054031,1.8245670914805103,2.506085408767271,0.6805354612955667,0.4701597363026347,0.5753475987991007,3.4699821,0.44061924316540674,0.3311653772030931,0.3858923101842499,0.6601735374513794,false,POINT (-7978941.017822203 972745.7716879487),VENEZ_2022_N,,,52.63855413088914,54.27,false,false,0.9670790879082424,-1.710719677028294e-09
51.6,0.0003333333333316,-0.0003111111111081,1650.0000000000412,10.70129032280397,55.03,0.0046666666666442,1.1111111111293144e-05,1350.0000000001894,289.2987096770478,53.39,0.0013333333333268,-3.333333333301374e-05,1050.0000000002772,599.999999999764,53.37,0.0116666666666103,0.0003888888888851,1980.0000000000373,340.7012903228001,50.32,0.002333333333322,5.5555555555014114e-05,3690.000000000297,2040.000000000256,65.0,315.805555555556,1.58055403263959,65.0,66021,1,1,3406.23029402449,1965.40119760781,1,61303300041,61303300040581,0.0013154173120773,112.196,523.9943668063695,3.3637152,0.005466666648446045,0.0017836257299508234,4.155842102924064,1.355939072395308,2.7558905876596858,0.8335633115745493,0.3400613646796387,0.586812338127094,3.3637152,0.4875561403058144,0.9067355048370317,0.6971458225714231,1.921257615755967,false,POINT (-7978827.548268263 973142.4189848363),VENEZ_2022_N,,,52.22613041869435,53.37,false,false,1.9212576106508543,-5.105112776959686e-09
